Ordinal	Word	Operation	Quality	NewMaterial	TestAction	Reasons	Rationale
o1901	fellowship	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1902	female	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1903	feminine	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1904	fence	UPGRADED	DEPTH_REVIEWED	NO	NONE	DECISION_GAP; STRUCTURE_GAP	Restore common L1 fence=栅栏 from sort_order=999 to first priority and rebuild Core so it actually owns fence noun + fence-around verb; lower thief/fencing/evasion branches remain active outside default Core.
o1905	ferry	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1906	fertile	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1907	fertiliser	UPGRADED	DEPTH_REVIEWED	NO	NONE	OWNERSHIP_GAP; REGISTER_FORM_GAP	Migrate already-owned fertiliser/fertilizer UK/US spelling Relation into bilateral Form ownership; remote dependency o5532 fertilizer. No new learner truth.
o1908	festival	UPGRADED	DEPTH_REVIEWED	NO	NONE	DECISION_GAP	Normalize L1 festival noun to sort_order=0 and L2 festival-event series to the next learner layer.
o1909	fetch	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1910	feudal	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1911	fever	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1912	few	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1913	fibre	UPGRADED	DEPTH_REVIEWED	NO	NONE	OWNERSHIP_GAP; DECISION_GAP; REGISTER_FORM_GAP	Move already-owned fibre/fiber spelling truth from Sense overlays to Form; keep dietary fibre before lower-value L3 character/fibre meaning and align Core to current learner truth.
o1914	fiction	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1915	field	UPGRADED	DEPTH_REVIEWED	NO	NONE	STRUCTURE_GAP; REDUNDANCY_NOISE	Remove duplicate Core ownership of the same 'field=领域' Sense; preserve all active field branches.
o1916	fierce	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1917	fifteen	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1918	fifty	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1919	fight	UPGRADED	DEPTH_REVIEWED	YES	NONE	DECISION_GAP; REGISTER_FORM_GAP	Place all current L1 fight branches, including the verb, ahead of L2 boxing/vi conflict branches. New fight→fought→fought Form is Human-Gated.
o1920	figure	UPGRADED	DEPTH_REVIEWED	NO	NONE	REDUNDANCY_NOISE	Remove duplicate Secondary and Construction for figure+that because the active Sense already owns that-clause syntax.
o1921	file	UPGRADED	DEPTH_REVIEWED	NO	NONE	DECISION_GAP; REDUNDANCY_NOISE	Move L1 file=archive verb before L2 row/tool branches; remove duplicate Secondary for submit/apply and keep L3 marching outside default Core.
o1922	fill	UPGRADED	DEPTH_REVIEWED	NO	NONE	CORRECTNESS_GAP; DECISION_GAP; STRUCTURE_GAP	Fix duplicated Core sense ownership, expose fill as I/T rather than transitive-only, promote existing L2 fill-a-role from 999, and keep L3 noun 'one's fill' outside default Core.
o1923	film	UPGRADED	DEPTH_REVIEWED	NO	NONE	REDUNDANCY_NOISE; DECISION_GAP	Remove Secondary duplicating active film=shoot Sense and keep L3 film-over verb outside default Core.
o1924	filter	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1925	final	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1926	finally	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1927	finance	UPGRADED	DEPTH_REVIEWED	NO	NONE	DECISION_GAP; STRUCTURE_GAP	Normalize finance noun L1, finance/fund verb L1, and raise-funds L2 from 999; include the L1 verb in Core.
o1928	financial	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1929	find	UPGRADED	DEPTH_REVIEWED	YES	NONE	REDUNDANCY_NOISE; REGISTER_FORM_GAP	Remove duplicate find+that Construction while preserving the distinct find-oneself pattern. New find→found→found Form is Human-Gated.
o1930	finding	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1931	fine	UPGRADED	DEPTH_REVIEWED	NO	NONE	DECISION_GAP; REDUNDANCY_NOISE; STRUCTURE_GAP	Bring both L1 'fine=okay/healthy' and L1 noun 'fine=penalty' into normal priority/Core; remove Secondary duplicating active fine-verb while retaining the useful fine-sb-for pattern.
o1932	finger	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1933	finish	UPGRADED	DEPTH_REVIEWED	NO	NONE	DECISION_GAP	Normalize finish verb L1 from 999 to first priority and noun finish L2 to next layer; preserve finish-doing Construction.
o1934	finite	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1935	fire	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1936	fireman	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1937	fireplace	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1938	firm	UPGRADED	DEPTH_REVIEWED	NO	NONE	CORRECTNESS_GAP; DECISION_GAP; STRUCTURE_GAP	Correct firm 'become/make firm' I/T metadata from transitive-only pattern, move current L2 definite/certain branch before L3 adverb, and keep the L3 adverb outside default Core.
o1939	first	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1940	fiscal	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1941	fish	UPGRADED	DEPTH_REVIEWED	YES	NONE	REGISTER_FORM_GAP	Add high-value plural Form: fish has plural fish or fishes. No Sense/Test change.
o1942	fisherman	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1943	fist	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1944	fit	UPGRADED	DEPTH_REVIEWED	YES	NONE	CORRECTNESS_GAP; DECISION_GAP; REGISTER_FORM_GAP	Promote existing L1 fit=healthy before L2/L3 branches, correct size-fit to I/T, keep matching branch before L3 nouns, and add fitted / US also fit past-form boundary under Human Gate.
o1945	five	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1946	fix	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1947	fixture	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1948	flag	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1949	flame	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1950	flap	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
