Ordinal	Word	Operation	Quality	core	senses	familiar_new	construction	phraseology	decision_boundary	relation_confusable	register_stance	family_morphology	form_identity	productive_use	repair_test	TestAction	Reasons	Rationale	OwnerSHA256
o1113	cotton	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE		Fresh read + Self Attack found no allowed-gap Content mutation; preserve Current.	3f8400a3d2eee1a1e212526ef43888b7720bba6bdf7c9c27938ee15a8beb1be6
o1114	couch	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE		Fresh read + Self Attack found no allowed-gap Content mutation; preserve Current.	6284bef6eff93ab3a214c2c216df1873350c41f308781f5b9b3f54185b7baa1b
o1115	cough	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	PRESERVE	KEEP		Fresh read + Self Attack found no allowed-gap Content mutation; preserve Current.	f7243fbb4ec82675f77ffce615c0b13bc927fba9141c9a91e9502325db186690
o1116	could	UPGRADED	DEPTH_READY	UPGRADED	UPGRADED	UPGRADED	UPGRADED	PRESERVE	UPGRADED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	UPGRADED	UPGRADED	ADD_OR_RETARGET	COVERAGE_GAP; DECISION_GAP; STRUCTURE_GAP; TESTABILITY_GAP	See bounded correction/new-delta proposal; fresh read + Self Attack stabilized this mutation.	77a87233db3e89a0ab75585df0a74af75031efe9426578314588f3b0d46e7a06
o1117	council	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	KEEP		Fresh read + Self Attack found no allowed-gap Content mutation; preserve Current.	4629e8d4a0ebf91a1e914d4f8bdad300017eba5fb179d651860b477ef1240fe8
o1118	counsel	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	UPGRADED	REMOVE		Fresh read + Self Attack found no allowed-gap Content mutation; preserve Current.	62611977bd7f18bd69970e7cca715004a11bbaf158106bcdd675c0a44aa87ffc
o1119	count	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	PRESERVE	KEEP		Fresh read + Self Attack found no allowed-gap Content mutation; preserve Current.	8c83a614697f28eeee9c1fb9d4bb2924ce98096a0c94c6291a0bfe02b942326b
o1120	counter	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	UPGRADED	REMOVE		Fresh read + Self Attack found no allowed-gap Content mutation; preserve Current.	4b66f0beae234bdf0966100964a2dfa294c7fdb28d49786fcb656bfd2bcac9ff
o1121	counterpart	NO_CHANGE	SAFE_SIMPLE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE		Fresh read + Self Attack found no allowed-gap Content mutation; preserve Current.	3fa812051e2358d881ea8694ad74cca782607c24af63edd30d42f6b6cc7a285a
o1122	country	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE		Fresh read + Self Attack found no allowed-gap Content mutation; preserve Current.	e4b1e829c4273697fbb54f0bb334b916a9595cf6e46fcc26cb8114a6f6eccc5c
o1123	countryside	NO_CHANGE	SAFE_SIMPLE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE		Fresh read + Self Attack found no allowed-gap Content mutation; preserve Current.	e3591d911284c5732d82299a3bc2db25a908c285e7db3ff956008b55bafe841b
o1124	county	NO_CHANGE	SAFE_SIMPLE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE		Fresh read + Self Attack found no allowed-gap Content mutation; preserve Current.	4ffe1c4a75a915a85b1c173052535dc8760daa85a6eb45c24a9e892cccd44c2b
o1125	couple	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	UPGRADED	REMOVE		Fresh read + Self Attack found no allowed-gap Content mutation; preserve Current.	d35c97421b28db8d918b9402d8d707bec785a14333f99271e15e2d2c610892b2
o1126	coupon	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE		Fresh read + Self Attack found no allowed-gap Content mutation; preserve Current.	f9ac5d2c00717050c6a93a2a88a96cc7d61844e1a179878b1ad6c547ca895496
o1127	courage	NO_CHANGE	SAFE_SIMPLE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE		Fresh read + Self Attack found no allowed-gap Content mutation; preserve Current.	932b196f854b9427b630ff8ba0f23451392db353c89ad50485ae9da1a869c706
o1128	course	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	UPGRADED	REMOVE		Fresh read + Self Attack found no allowed-gap Content mutation; preserve Current.	f6f55b2744b2bba10b7adf8c478bcc7be8bb6f16779211f83ce841392a1aadb3
o1129	court	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE		Fresh read + Self Attack found no allowed-gap Content mutation; preserve Current.	5a1d1f0acda59939f547af671211612bc29da431aff0b94e06aeb99ba18c9afa
o1130	courtesy	NO_CHANGE	SAFE_SIMPLE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE		Fresh read + Self Attack found no allowed-gap Content mutation; preserve Current.	0fea344293f3943d71281c67121322130e2454d6b715795625ebf7fa7d5e7c7e
o1131	courtyard	NO_CHANGE	SAFE_SIMPLE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE		Fresh read + Self Attack found no allowed-gap Content mutation; preserve Current.	8a9d1f1f39ddcc3ad090f81b7c74c8225b797d8db152fcc37752ca7dc10a7713
o1132	cousin	NO_CHANGE	SAFE_SIMPLE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE		Fresh read + Self Attack found no allowed-gap Content mutation; preserve Current.	b6aa41e2e205c6ebc97b5240406f758e489d50e4681471a3d24b972bcd9fb9e7
o1133	cover	UPGRADED	DEPTH_READY	UPGRADED	UPGRADED	NOT_NEEDED	UPGRADED	PRESERVE	UPGRADED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	UPGRADED	REMOVE	CORRECTNESS_GAP; COVERAGE_GAP; STRUCTURE_GAP; REDUNDANCY_NOISE	See bounded correction/new-delta proposal; fresh read + Self Attack stabilized this mutation.	684f69ee90e156e17a61cda5645ebc062c3f13b84382af9ce640ae6a1051cb06
o1134	cow	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	UPGRADED	ADD_OR_RETARGET		Fresh read + Self Attack found no allowed-gap Content mutation; preserve Current.	a07220f8ac937ea62714cf38539e40b71b7a83782face3c0f219784498d25d25
o1135	coward	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE		Fresh read + Self Attack found no allowed-gap Content mutation; preserve Current.	af78f7fd70a4fd032b83ea8dcd5c0ba4bd5dca1c1e35f9a36f2d47675f37852b
o1136	crab	UPGRADED	DEPTH_READY	PRESERVE	UPGRADED	NOT_NEEDED	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE	REDUNDANCY_NOISE	See bounded correction/new-delta proposal; fresh read + Self Attack stabilized this mutation.	3159bbd3f2ae6dcc6908dbcda7edaa09e8aa8000e91b12225c2060864d29bfef
o1137	crack	UPGRADED	DEPTH_READY	UPGRADED	PRESERVE	NOT_NEEDED	UPGRADED	PRESERVE	UPGRADED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	UPGRADED	ADD_OR_RETARGET	COVERAGE_GAP; DECISION_GAP; TESTABILITY_GAP	See bounded correction/new-delta proposal; fresh read + Self Attack stabilized this mutation.	3613fbaa1ce7383803a910cc1b66dde7d84d96d961297d312ad60b07558c9eeb
o1138	cradle	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE		Fresh read + Self Attack found no allowed-gap Content mutation; preserve Current.	86950cce03672e0ca2d0cfde144e2b3e8636264c760eaf2b6ac9a81dc14f9135
o1139	craft	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE		Fresh read + Self Attack found no allowed-gap Content mutation; preserve Current.	d0e8efeeae8c778239eff6b89dde4f4fac278798b5345db29bf673b0cb9664b2
o1140	crane	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE		Fresh read + Self Attack found no allowed-gap Content mutation; preserve Current.	f83b42b716114d0bd17573603587d9cd236489749b2e4dc1a88314b04267773c
o1141	crash	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	UPGRADED	REMOVE		Fresh read + Self Attack found no allowed-gap Content mutation; preserve Current.	a6ebf3b0f3e4fa77ce1c196d0878b24229f275e96a1dfd2c7004d2f03ec5d616
o1142	crawl	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE		Fresh read + Self Attack found no allowed-gap Content mutation; preserve Current.	6c9228205d2fc8234d7b751ff97858a103e1d341e5ce9ac844843116d4bbc478
o1143	crazy	UPGRADED	DEPTH_READY	PRESERVE	UPGRADED	NOT_NEEDED	NOT_NEEDED	PRESERVE	PRESERVE	UPGRADED	UPGRADED	NOT_NEEDED	NOT_NEEDED	PRESERVE	UPGRADED	REMOVE	CORRECTNESS_GAP; REGISTER_FORM_GAP; REDUNDANCY_NOISE	See bounded correction/new-delta proposal; fresh read + Self Attack stabilized this mutation.	99593bd664771ca7a2d52193fd4a22fe366b357f6584ff6af0a68e6eec12a22d
o1144	cream	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE		Fresh read + Self Attack found no allowed-gap Content mutation; preserve Current.	78fbce9201441784ef1dd62b3028c5666d0d4e09bc86f37d1681df7ec609c5c7
o1145	create	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE		Fresh read + Self Attack found no allowed-gap Content mutation; preserve Current.	4f5604c8775e28fa85a64ead7a2212801611cf0afead1beb3bb12526fb4f2df7
o1146	creative	NO_CHANGE	SAFE_SIMPLE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE		Fresh read + Self Attack found no allowed-gap Content mutation; preserve Current.	2fd630c4811cbcc478ece628d54c77c427cf36ac540bcab7f1f103cf2512d67b
o1147	creature	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE		Fresh read + Self Attack found no allowed-gap Content mutation; preserve Current.	eb8b32e019b54c2842d77531c4ba8783109690faf5cc41cf09f24ee1a805588c
o1148	credential	UPGRADED	DEPTH_READY	UPGRADED	UPGRADED	UPGRADED	NOT_NEEDED	PRESERVE	UPGRADED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE	COVERAGE_GAP; FAMILIAR_NEW; PRODUCTIVE_VALUE_GAP	See bounded correction/new-delta proposal; fresh read + Self Attack stabilized this mutation.	ed3f052f088d3a3507a9d1bbd9c06c7d49f65adfcd6c69c09bc2b752d29b548c
o1149	credit	UPGRADED	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	UPGRADED	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	UPGRADED	NOT_NEEDED	UPGRADED	UPGRADED	ADD_OR_RETARGET	STRUCTURE_GAP; PRODUCTIVE_VALUE_GAP; TESTABILITY_GAP	See bounded correction/new-delta proposal; fresh read + Self Attack stabilized this mutation.	83c00dea4c525832761d517636f7bf31600469774e9993f2f41c19509ad9075c
o1150	creep	UPGRADED	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	NOT_NEEDED	UPGRADED	PRESERVE	UPGRADED	ADD_OR_RETARGET	REGISTER_FORM_GAP; TESTABILITY_GAP	See bounded correction/new-delta proposal; fresh read + Self Attack stabilized this mutation.	c3197ea14d1792e1d05eb65e59366bd491e9bda731a6b3258b9aff2b926f92a0
