Ordinal	Word	Operation	Quality	core	senses	familiar_new	construction	phraseology	decision_boundary	relation_confusable	register_stance	family_morphology	form_identity	productive_use	repair_test	TestAction	Rationale	OwnerSHA256
o0211	antenna	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	NOT_NEEDED	PRESERVE	NOT_NEEDED	PRESERVE	KEEP	Content preserved; existing test changes a meaningful repair decision.	ab5877ba6a0f4877efd0acd8e0322fd781a6790d08f4433f1c15f5cbbf1300f9
o0212	anticipate	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	PRESERVE	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	UPGRADED	REMOVE	Content preserved; existing test does not add a useful repair branch.	76107900af6eeaff893a74de1ce31f054c1d1106fad478a2fb3e316608f41dd5
o0213	antique	UPGRADED	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	UPGRADED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE	See proposal in o0201-o0300.production-c-lookahead.md	dc33a08d44f5b46197be01b3cdffcd1c6180ae1876183a2c187c1f90209f2e61
o0214	anxiety	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE	Fresh read + Self Attack found no allowed-gap Content mutation.	27f72ff28862e36f19284105560c5b3b72e84be78888588860be90a66875edca
o0215	anxious	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	PRESERVE	KEEP	Content preserved; existing test changes a meaningful repair decision.	18e3dfb8dd35bbfb535ca773518b0bc9d8d648e148caabf050894373c2b13595
o0216	any	UPGRADED	DEPTH_READY	UPGRADED	PRESERVE	PRESERVE	PRESERVE	PRESERVE	UPGRADED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	PRESERVE	KEEP	See proposal in o0201-o0300.production-c-lookahead.md	c1483d4ac0a65e724ecd52f607e087f69df93713a157b6662bb3c634164f27c7
o0217	anybody	UPGRADED	DEPTH_READY	UPGRADED	PRESERVE	UPGRADED	UPGRADED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE	See proposal in o0201-o0300.production-c-lookahead.md	9c4a235d6def0cbcdfad3967cf15d87d26b98295594a34624acd944acb12af0a
o0218	anyhow	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE	Fresh read + Self Attack found no allowed-gap Content mutation.	0a09f4fe57ceab545c5bc072e1d33aea7828c04c7dd91c3c02f606d509182f73
o0219	anything	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	PRESERVE	KEEP	Content preserved; existing test changes a meaningful repair decision.	d17d00343393854c0a23f2b7327978f4832812d42d60359010ebfb0fb6be1a64
o0220	anyway	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	PRESERVE	KEEP	Content preserved; existing test changes a meaningful repair decision.	fe50347cc34c4a12d8cdceea23d5234a48dbf1a0995d0622945358fb6245534f
o0221	anywhere	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	UPGRADED	REMOVE	Content preserved; existing test does not add a useful repair branch.	a8a7384a875c30541a6d872d7b8470df3d787adcb42b20b6506010a8852f648e
o0222	apart	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	PRESERVE	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	UPGRADED	REMOVE	Content preserved; existing test does not add a useful repair branch.	8a13257995db537dcd909ce7bc5342d0feab3dcae3c36fd8cf4d194695e59f6f
o0223	apartment	UPGRADED	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	UPGRADED	PRESERVE	PRESERVE	UPGRADED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE	See proposal in o0201-o0300.production-c-lookahead.md	01be68d766dddd6a6907ce869aa03e9884b3299a3bbd938aa8624c42e65d7523
o0224	ape	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE	Fresh read + Self Attack found no allowed-gap Content mutation.	7355084df1553c2ea23af400f90375d1946c9b0da5f743c9745e6c2548d55776
o0225	apologise	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	UPGRADED	REMOVE	Content preserved; existing test does not add a useful repair branch.	326591f300ae3d28539d6335b658b6ea778064de0b020b4e521d021e8fc2cdfd
o0226	apology	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE	Fresh read + Self Attack found no allowed-gap Content mutation.	a010a4897875637a3e0f454c6b96f4c94485bf216e6a5dc3328ce376bc1c82b6
o0227	appal	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE	Fresh read + Self Attack found no allowed-gap Content mutation.	4becd9bac05bed97e270e43854f6083d97fb29f23eb5d7c1ad6b6777eb1959b0
o0228	apparatus	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE	Fresh read + Self Attack found no allowed-gap Content mutation.	b5957ea5894dd6e3d642784ce943625b8c94e45f858d7afb40bca2266f3930a1
o0229	apparent	UPGRADED	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	UPGRADED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	UPGRADED	REMOVE	See proposal in o0201-o0300.production-c-lookahead.md	ac5054676bc23300e45dd5b16448c20401256e013acc9e71617cf37436cd2475
o0230	appeal	UPGRADED	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	UPGRADED	PRESERVE	UPGRADED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	PRESERVE	KEEP	See proposal in o0201-o0300.production-c-lookahead.md	e3e7df4bed110d71896004a58b992278cf6e70ccd9f6f9c685fdb290512c93ac
o0231	appear	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	PRESERVE	UPGRADED	REMOVE	Content preserved; existing test does not add a useful repair branch.	a327412317df91e7e3a48ac2a12290c20c9dead4626da54bded481042482c79e
o0232	appearance	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE	Fresh read + Self Attack found no allowed-gap Content mutation.	73ac75991d29c0264fa44bb5dff55e854b6db03e77804433188670bd1eb7cc33
o0233	appendix	UPGRADED	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	UPGRADED	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE	See proposal in o0201-o0300.production-c-lookahead.md	4348aa4cf2e8ac874c81d1f2d2912910f65bb2a4331fb6e7269f3d8f9b1307b2
o0234	appetite	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE	Fresh read + Self Attack found no allowed-gap Content mutation.	a71f8452b29970d1bb692cd5fac128b97d0687c9eeba8d9f8dc8e55421ce9258
o0235	applaud	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE	Fresh read + Self Attack found no allowed-gap Content mutation.	3a76cace5d1bf8a76a41a61500c54dbe773c4aa2ccce1929be1f63b7e1faccb8
o0236	applause	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE	Fresh read + Self Attack found no allowed-gap Content mutation.	02783cf98ec2d8b40b08079ce330aee77b594aba5d08b35497bf61915511040c
o0237	apple	NO_CHANGE	SAFE_SIMPLE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE	Fresh read + Self Attack found no allowed-gap Content mutation.	8a6276d588df013e18b8fa2388f00102785bbfccc86e223fcedd7e324c59c6c3
o0238	appliance	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE	Fresh read + Self Attack found no allowed-gap Content mutation.	a6220c26bc497d00250dc51b5f4998a6ccdf3d7452ca968c230661fbf3774e7e
o0239	applicable	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	UPGRADED	REMOVE	Content preserved; existing test does not add a useful repair branch.	14ba0e735310ff69adb43d0ccd97476de7a04e3ea9b9f669b98857f0b3890cbd
o0240	application	UPGRADED	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	UPGRADED	NOT_NEEDED	PRESERVE	UPGRADED	REMOVE	See proposal in o0201-o0300.production-c-lookahead.md	c7db47b1eb612dfd70d1b184fe38457bea2aed99beacf64cbdf6910faa94d8bb
o0241	apply	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	PRESERVE	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	KEEP	Content preserved; existing test changes a meaningful repair decision.	3c8b8f4d0f3cdc7149411d1877630f50a93dc930940974a7445c04a3054aa60a
o0242	appoint	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	UPGRADED	REMOVE	Content preserved; existing test does not add a useful repair branch.	8e314c372ff7af6b12d505abfaf48cae7eec68aa77d1e5383bbebc9b6fd58904
o0243	appointment	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	NOT_NEEDED	PRESERVE	UPGRADED	REMOVE	Content preserved; existing test does not add a useful repair branch.	933c8756911ad4cafaf536020d802add2ad7c2d10910ee5f42ba3a57831bc112
o0244	appraisal	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE	Fresh read + Self Attack found no allowed-gap Content mutation.	fda854cffc8d44d092e83c4e437a7f3533d8a2e4ff8c8ea13dff9ce212c6fd84
o0245	appreciate	UPGRADED	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	UPGRADED	NOT_NEEDED	NOT_NEEDED	UPGRADED	REMOVE	See proposal in o0201-o0300.production-c-lookahead.md	581f141bc32bce911765a4fad9942b821c501946c1e2d801503deaa63947ba64
o0246	approach	UPGRADED	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	UPGRADED	NOT_NEEDED	PRESERVE	UPGRADED	REMOVE	See proposal in o0201-o0300.production-c-lookahead.md	2483540cd5f3bec331454fe4ed1294b5b9f0c4d19b938efc28b1d21d1e4eeb09
o0247	appropriate	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	PRESERVE	PRESERVE	PRESERVE	PRESERVE	PRESERVE	PRESERVE	KEEP	Content preserved; existing test changes a meaningful repair decision.	ed38be54d473580e7605d742ae446c3a31c5a3e4dce3c3a98b0b3096c5cde4dc
o0248	approval	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE	Fresh read + Self Attack found no allowed-gap Content mutation.	dfbfe144efdacb01b32d69557571923aed481e0170a3cc0fdba7df21c2461946
o0249	approve	UPGRADED	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	UPGRADED	NOT_NEEDED	PRESERVE	PRESERVE	KEEP	See proposal in o0201-o0300.production-c-lookahead.md	157bf5924280042175d487c4605bd34963ea3a10c7189809b6d21d2123133ac5
o0250	approximate	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	PRESERVE	KEEP	Content preserved; existing test changes a meaningful repair decision.	dcc66e1b6dccc02ce5e22a812101ba30d49e8cf10815280701726cc480de3296
o0251	April	NO_CHANGE	SAFE_SIMPLE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE	Fresh read + Self Attack found no allowed-gap Content mutation.	16e97671e565c217223d11e435b7b5fbe284becabffdf1f6a277aa5b3b583745
o0252	apt	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	UPGRADED	REMOVE	Content preserved; existing test does not add a useful repair branch.	28263ca35c6ba7c4ab43d75ddb08e8666a81f1d7bb890eb65658a613cf46f54b
o0253	arbitrary	NO_CHANGE	SAFE_SIMPLE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE	Fresh read + Self Attack found no allowed-gap Content mutation.	1d1409441763f29f63a728177895d843abf7874a6dd8b4c499d615be7e44bb74
o0254	arch	UPGRADED	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	UPGRADED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE	See proposal in o0201-o0300.production-c-lookahead.md	addc7356d18dee5707d16f025226e597e1388b15ce2b178348fe587251094576
o0255	archeology	UPGRADED	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	PRESERVE	UPGRADED	PRESERVE	NOT_NEEDED	UPGRADED	PRESERVE	NOT_NEEDED	NONE	See proposal in o0201-o0300.production-c-lookahead.md	83769adcf9736d8f60c2722d30935577515f269ec06643f3f3294cebb83efa07
o0256	architect	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE	Fresh read + Self Attack found no allowed-gap Content mutation.	5d4f62763f9250b38c3d15de7eae2715fc42cffca5da70e15b1faca4c15e549a
o0257	architecture	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	UPGRADED	REMOVE	Content preserved; existing test does not add a useful repair branch.	13ddda7daa26e3f5e7a7007689068012920fcdd83b98d656ae4cd3d51838e198
o0258	archive	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE	Fresh read + Self Attack found no allowed-gap Content mutation.	f9ffcbebb0540d6427c7969c38bb64d4e08f8657d098887fbb0ce521dae7d77b
o0259	area	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE	Fresh read + Self Attack found no allowed-gap Content mutation.	19fc76dbaaff0ca345a03b6c8b9ab393641c0c5d89623ed2caa698c220c3d747
o0260	arena	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE	Fresh read + Self Attack found no allowed-gap Content mutation.	50f7e2355f03c6d9e67d2509260fba4bc943b9c7cea9ea6ec9a66084bcec6fe5
o0261	argue	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	PRESERVE	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	UPGRADED	REMOVE	Content preserved; existing test does not add a useful repair branch.	1c87ea01b8bed011ebe89733c838622aaf3d15be955321befdb8a02570e5980b
o0262	argument	UPGRADED	DEPTH_READY	PRESERVE	UPGRADED	UPGRADED	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	PRESERVE	UPGRADED	REMOVE	See proposal in o0201-o0300.production-c-lookahead.md	c3cae9a1e70edfd92da253e6a6c4e3299c0fa42f85c64e262df85acdddb1e8e7
o0263	arise	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	PRESERVE	KEEP	Content preserved; existing test changes a meaningful repair decision.	dc04a1dd5b6e808e0b71db84c8381e8597282f507f0e85e3ae06fb1b3925701c
o0264	arithmetic	NO_CHANGE	SAFE_SIMPLE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE	Fresh read + Self Attack found no allowed-gap Content mutation.	6c65f921aa46696600a0e0c877a995218153cb9c32f3f29e09a5ba374d3e6937
o0265	arm	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE	Fresh read + Self Attack found no allowed-gap Content mutation.	4f6635715d23f83ac2a418268a78daa58117aee07cc406e0f4cb4a4db84f476f
o0266	army	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	UPGRADED	REMOVE	Content preserved; existing test does not add a useful repair branch.	14e80d04730e14d3b2215242f635ca616527761814f365e60a0274ca426a8224
o0267	around	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	UPGRADED	REMOVE	Content preserved; existing test does not add a useful repair branch.	ae34461880166822ae2dc545b8b193592f04a3f12d34c8c377c2d1c74b1dc058
o0268	arouse	UPGRADED	DEPTH_READY	PRESERVE	UPGRADED	PRESERVE	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE	See proposal in o0201-o0300.production-c-lookahead.md	01025e6f7f08cfe567eeb53808df5ac554a86d5b8958e0965eaedaf5b867dec3
o0269	arrange	UPGRADED	DEPTH_READY	PRESERVE	UPGRADED	PRESERVE	PRESERVE	UPGRADED	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NONE	See proposal in o0201-o0300.production-c-lookahead.md	6d15fdc0f9d74ab7c6f25108b809a26b7a7ebaccc7408f4852a7f8de098e1c8e
o0270	array	UPGRADED	DEPTH_READY	PRESERVE	PRESERVE	PRESERVE	NOT_NEEDED	UPGRADED	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	UPGRADED	REMOVE	See proposal in o0201-o0300.production-c-lookahead.md	0858189862c18d7a7028ffb2c0681532f0b23b1e81f903a837a6264f631452d8
