Ordinal	Word	Operation	Quality	NewMaterial	TestAction	Reasons	Rationale
o1518	drown	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1519	drug	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1520	drum	UPGRADED	DEPTH_REVIEWED	NO	NONE	DECISION_GAP; STRUCTURE_GAP	Restore Core L1 drum noun from sort_order=999 ahead of L2 verb and make Core ownership match the stated instrument Core.
o1521	drunk	UPGRADED	DEPTH_REVIEWED	NO	NONE	OWNERSHIP_GAP	Current word_family already says drunk is the irregular past participle of drink, but inflectional truth is misowned as family metadata. Move that existing truth into Form/Identity while preserving drunk adjective lexeme.
o1522	dry	UPGRADED	DEPTH_REVIEWED	NO	NONE	DECISION_GAP; REDUNDANCY_NOISE; STRUCTURE_GAP	Restore L1 transitive dry sth from 999, remove duplicate Construction, add it to Core verb ownership, and remove stale 禁酒的 wording from active Core cluster.
o1523	dual	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1524	dubious	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1525	duck	UPGRADED	DEPTH_REVIEWED	NO	NONE	CORRECTNESS_GAP; DECISION_GAP; STRUCTURE_GAP	Common duck=lower the head/body quickly is active but late, marked transitive, and omitted from the Core branch that claims it. Promote it and correct to intransitive quick-movement structure.
o1526	due	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1527	dull	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1528	dumb	UPGRADED	DEPTH_REVIEWED	NO	NONE	DECISION_GAP; REGISTER_FORM_GAP	Put modern L1 dumb=stupid/foolish first; keep silent L2 next and old/often-offensive unable-to-speak use L3; normalize adjective structure.
o1529	dump	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1530	duplicate	UPGRADED	DEPTH_REVIEWED	NO	NONE	OWNERSHIP_GAP; REGISTER_FORM_GAP	Migrate already-existing duplicate noun/adjective /-kət/ vs verb /-keɪt/ pronunciation truth from repeated Sense overlays into one Form owner.
o1531	durable	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1532	duration	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1533	during	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1534	dusk	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1535	dust	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1536	duty	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1537	dwarf	UPGRADED	DEPTH_REVIEWED	NO	NONE	CORRECTNESS_GAP; OWNERSHIP_GAP; REGISTER_FORM_GAP	Rehome existing dwarf-star/dwarf-conifer small-type phraseology away from the person noun; move the existing offensive-person boundary into the person Sense usage note instead of a generic Form overlay.
o1538	dwell	UPGRADED	DEPTH_REVIEWED	YES	NONE	PRODUCTIVE_VALUE_GAP; REGISTER_FORM_GAP	Normalize existing dwell→dwelling derivational metadata into current learner-family shape. Add dwell→dwelt/dwelled Form only if Human Gate approves.
o1539	dwelling	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1540	dye	UPGRADED	DEPTH_REVIEWED	YES	NONE	REGISTER_FORM_GAP; PRODUCTIVE_VALUE_GAP	Add high-value die/dye spelling-inflection contrast: die→dying/died vs dye→dyeing/dyed, with remote dependency die@o1367. Human-Gated.
o1541	dynamic	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1542	dynasty	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1543	each	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1544	eager	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1545	eagle	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1546	ear	UPGRADED	DEPTH_REVIEWED	NO	NONE	DECISION_GAP; REDUNDANCY_NOISE; STRUCTURE_GAP	Normalize sole L1 ear from sort_order=999, remove duplicated lend-an-ear Construction, and stop Core from foregrounding grain-ear Reference truth.
o1547	early	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1548	earn	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1549	earnest	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1550	earth	UPGRADED	DEPTH_REVIEWED	YES	NONE	DECISION_GAP; STRUCTURE_GAP; REGISTER_FORM_GAP	Restore L1 planet and soil/ground ahead of L3 ancient-element/verb branches and rebuild Core clusters. Earth/earth capitalization boundary is Human-Gated.
